Symbol,Previous,Estimate,Reported,Next,Guidance,06-09,06-06,06-05,06-04,06-03,06-02,06-01_x,06-01_y,05-31,05-25
JPM,2025-04-11,4.61,4.91,2025-07-15,,18.42,18.41,18.41,18.41,18.41,18.41,18.4,18.4,18.4,18.38
TLRY,2025-04-08,-0.04,-0.1,2025-07-28,,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04
BLK,2025-04-11,10.14,11.3,2025-07-14,,45.16,45.1,45.1,45.0,45.0,45.0,45.0,45.0,45.0,44.98
LEVI,2025-04-07,0.28,0.38,2025-06-24,,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23
WBA,2025-04-08,0.53,0.63,2025-06-25,,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67
DAL,2025-04-09,0.38,0.46,2025-07-09,,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41
PLAY,2025-04-07,0.71,0.24,2025-06-10,,2.01,2.01,2.05,2.11,2.11,2.11,2.11,2.11,2.11,2.11
STZ,2025-04-09,2.28,2.63,2025-07-01,,12.72,12.73,12.73,12.73,12.73,12.73,12.73,12.73,12.73,12.72
WFC,2025-04-11,1.24,1.33,2025-07-15,,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82
KMX,2025-04-10,0.65,0.64,2025-06-20,,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69
BK,2025-04-11,1.51,1.58,2025-07-15,,6.79,6.79,6.79,6.79,6.79,6.79,6.79,6.79,6.79,6.78
MS,2025-04-11,2.2,2.6,2025-07-16,,8.7,8.69,8.69,8.69,8.69,8.69,8.69,8.69,8.69,8.69
CALM,2025-04-08,10.91,10.38,2025-07-21,,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
